,personne,jour_x,noteM_x,class_x,jour_y,noteM_y,class_y,jour,noteM,class,ClassF
0,3.0,1.0,2.75,3,5.0,2.75,3,1.0,3.8,4,4.0
0,3.0,1.0,2.75,3,5.0,2.75,3,1.0,3.8,4,4.0
0,3.0,5.0,2.75,3,1.0,3.8,4,4.0,2.75,3,2.0
0,3.0,1.0,3.8,4,4.0,2.75,3,2.0,3.8,4,3.0
0,3.0,4.0,2.75,3,2.0,3.8,4,3.0,2.75,3,5.0
0,3.0,2.0,3.8,4,3.0,2.75,3,5.0,2.75,3,1.0
0,3.0,3.0,2.75,3,5.0,2.75,3,1.0,2.75,3,1.0
0,3.0,5.0,2.75,3,1.0,2.75,3,1.0,4.0,4,4.0
0,3.0,1.0,2.75,3,1.0,4.0,4,4.0,2.0,2,4.0
0,3.0,1.0,4.0,4,4.0,2.0,2,4.0,4.0,4,3.0
0,3.0,4.0,2.0,2,4.0,4.0,4,3.0,4.0,4,3.0
